Ball Number,Score,Comment
2.3,0,"Mustafizur Rahman to Jishan Alam, no run, Dot ball !! fast ball, good length, on the off stump, Jishan Alam goes forward, tucks drive toward the fielder at short cover, who halts the ball."
2.2,0,"Mustafizur Rahman to Jishan Alam, no run, Dot ball !! outswinger, good length, on the stumps, goes forward, plays defensive shot to the point."
2.1,0,"Mustafizur Rahman to Jishan Alam, no run, Dot ball !! outswinger, back of length, on the stumps, goes forward, plays defensive shot."
1.6,4,"Mukidul Islam to Anamul Haque Bijoy, Four, Four !! fast ball, full length, on the off stump. Anamul Haque Bijoy goes forward, hits drive in the gap towards long off, and ball finds the ropes in a flash for four."
1.5,0,"Mukidul Islam to Anamul Haque Bijoy, no run, Dot ball !! outswinger, good length, on the off stump, Anamul Haque Bijoy goes forward to the delivery, letting it go to the keeper without offering a shot."
1.4,0,"Mukidul Islam to Anamul Haque Bijoy, no run, Dot ball !! fast ball, good length, on the off stump, goes forward, tried defensive shot but fails to get bat on it."
1.3,4,"Mukidul Islam to Anamul Haque Bijoy, Four, Four !! outswinger, back of length, on the off stump. Anamul Haque Bijoy goes forward and tries defensive shot, edged!! in the gap towards third man, and ball finds the ropes in a flash for four."
1.2,4,"Mukidul Islam to Anamul Haque Bijoy, Four, Four !! outswinger, good length, on the off stump, Anamul Haque Bijoy goes back, plays cut, gets an edge!, in the air to third man. Ball finds the ropes for four."
1.1,0,"Mukidul Islam to Anamul Haque Bijoy, no run, Dot ball !! fast ball, good length, on the off stump, Anamul Haque Bijoy hangs in the crease and strives to hit cut, aiming to fend it off, but ball is too tricky to hit."
0.6,1,"Mustafizur Rahman to Anamul Haque Bijoy, 1 run, An accurately pitched fast ball on the stumps, Anamul Haque Bijoy goes forward to make a confident defensive shot, sending the ball towards deep mid wicket for 1 run."
0.5,W,"Mustafizur Rahman to Mohammad Haris, no run, c S Eskinazi b M Rahman, Caught out !! outswinger, back of length, on the stumps, Mohammad Haris hangs in the crease, takes a big risk by attempting cut towards slip, but unfortunately, the ball flies towards Stephen Eskinazi, who displays excellent fielding skills to complete the catch, resulting in the dismissal of Mohammad Haris. c S Eskinazi b M Rahman"
0.4,6,"Mustafizur Rahman to Mohammad Haris, Six, Six !! With a brilliant outswinger on the off stump, Mohammad Haris goes forward and showcases power-hitting prowess as batter unleashes a spectacular drive to deep cover for a colossal Maximum!"
0.3,4,"Mustafizur Rahman to Mohammad Haris, Four, Four !! fast ball, back of length, on the stumps. Mohammad Haris goes back, hits pull in the gap towards deep mid wicket, and ball finds the ropes in a flash for four."
0.3,1wd,"Mustafizur Rahman to Mohammad Haris, 1 wide, Wide Ball !! inswinger good length on the leg stump, That sails wide of the leg-stump, leaving Mohammad Haris with no chance to make contact. The umpire calls it a wide."
0.2,2,"Mustafizur Rahman to Mohammad Haris, 2 runs, An accurately pitched inswinger on the leg stump, Mohammad Haris goes forward to make a confident flick shot, sending the ball towards deep square leg for 2 runs."
0.1,0,"Mustafizur Rahman to Mohammad Haris, no run, Dot ball !! outswinger, full length, on the off stump, goes forward, plays defensive shot to the point."
19.6,1,"Taskin Ahmed to Mustafizur Rahman, 1 run, Mustafizur Rahman goes back to take fast ball of yorker aimed on the off stump, executing a confident defensive shot that sent the ball sailing towards short mid wicket for 1 run."
19.5,W,"Taskin Ahmed to Shubham Ranjane, no run, c M Haris b T Ahmed, Caught out !! fast ball, good length, on the off stump, A risky shot choice by Shubham Ranjane as the batter hangs in the crease to strike it towards long on, only to get an edge that goes straight into the hands of Mohammad Haris for a soft dismissal. c M Haris b T Ahmed"
19.4,1,"Taskin Ahmed to Nazmul Islam, 1 run, Nazmul Islam goes back to take fast ball of good length aimed on the stumps, executing a confident defensive shot that sent the ball sailing towards point for 1 run."
19.3,W,"Taskin Ahmed to Mukidul Islam, no run, b T Ahmed, Bowled out !! fast ball, yorker, on the stumps, A bold move from Mukidul Islam as batter goes back, plays it, but it proves to be batter's downfall. The ball crashes into stumps, and the stumps are rattled. Bowled out! b T Ahmed"
19.2,W,"Taskin Ahmed to Alauddin Babu, no run, c RP Burl b T Ahmed, Caught out !! fast ball, full length, on the off stump, Alauddin Babu goes forward, tries a high-risk shot towards mid off, but the ball finds safe hands of Ryan Burl, who makes no mistake in taking the catch. Alauddin Babu is out. c RP Burl b T Ahmed"
19.1,0,"Taskin Ahmed to Alauddin Babu, no run, Dot ball !! fast ball, good length, on the off stump, hangs in the crease, tries to play but misses to get the bat on it."
18.6,4,"Shafiul Islam to Shubham Ranjane, Four, Four !! fast ball, fulltoss, on the off stump. Shubham Ranjane goes back, hits ramp shot in the gap towards third man, and ball finds the ropes in a flash for four."
18.5,1,"Shafiul Islam to Alauddin Babu, 1 run, An accurately pitched fast ball on the off stump, Alauddin Babu goes back to make a confident drive, sending the ball towards deep cover for 1 run."
18.4,6,"Shafiul Islam to Alauddin Babu, Six, Six !! What a delivery! fast ball lands right on the off stump, Alauddin Babu goes back, exhibits impeccable timing as batter hammers and sends it flying to the deep cover region for a remarkable Maximum!"
18.3,0,"Shafiul Islam to Alauddin Babu, no run, Dot ball !! fast ball, yorker, on the off stump, Alauddin Babu goes forward to the delivery, tries to defend it with full face of the bat, but the ball jags away at the last moment, beating the bat."
